BowlerName,RightHandedBat,TeamCode,Matches,Innings_Bowler,PlayerId,TotalRunsConceded,DotBallPercent_Bowler,BowlingAverage,StrikeRate_Bowler,BoundaryPercentage_Bowler,BoundaryFrequency,EconomyRate,OversBowled,Wickets_Bowler,FourWickets
Riyan Parag,true,RR,14,9,2019-100mb00000000189-ac8c327a44b711,170,25.00,56.66,40.00,45.88,7.50,8.50,20.0,3,0
Prince Yadav,true,LSG,6,6,2022-100mb00000001225-8dbd714d040c11,225,31.38,75.00,45.66,64.00,4.41,9.85,22.5,3,0
Romario Shepherd,true,RCB,5,4,2019-100mb00000000371-481ee0be14fc11,65,33.33,21.66,12.00,67.69,4.00,10.83,6.0,3,0
Akash Deep,true,LSG,6,6,2022-100mb00000001007-1363a306a45011,229,30.70,76.33,38.00,72.48,3.08,12.05,19.0,3,0
Ayush Badoni,true,LSG,13,1,2022-100mb00000000985-f5950061a44811,4,33.33,2.00,3.00,0.00,0.00,4.00,1.0,2,0
Gerald Coetzee,true,GT,2,2,2023-100mb00000002535-239c770f61da11,46,30.55,23.00,18.00,39.13,9.00,7.66,6.0,2,0
Liam Livingstone,true,RCB,7,5,2019-100mb00000000183-f4a991db44b611,76,18.51,38.00,27.00,47.36,6.75,8.44,9.0,2,0
Kamindu Mendis,false,SRH,5,4,2021-100mb00000000627-efccfcf90bd211,60,26.19,30.00,21.00,56.66,6.00,8.57,7.0,2,0
M Siddharth,true,LSG,2,2,2020-100mb00000000532-63bf237a639811,67,28.57,33.50,21.00,65.67,4.66,9.57,7.0,2,0
Xavier Bartlett,true,PBKS,4,4,2024-100mb00000003572-5731c9b6abdd11,96,46.66,48.00,30.00,77.08,3.75,9.60,10.0,2,0
Kumar Kartikeya Singh,true,RR,4,4,2022-100mb00000001015-396b0615c6d411,78,33.33,39.00,24.00,69.23,4.36,9.75,8.0,2,0
Mohit Sharma,true,DC,7,7,2019-100mb00000000100-f196053e43f611,210,22.22,105.00,63.00,54.28,5.25,10.00,21.0,2,0
Nitish Kumar Reddy,true,SRH,12,2,2023-100mb00000001944-c9a4b0e8c40511,41,33.33,20.50,12.00,63.41,4.80,10.25,4.0,2,0
Washington Sundar,false,GT,5,4,2018-100mb00000000020-9223b16ce99c11,104,23.72,52.00,29.50,63.46,4.53,10.57,9.5,2,0
Harsh Dubey,false,SRH,2,2,2022-100mb00000001494-00433266543911,64,22.22,32.00,18.00,65.62,4.50,10.66,6.0,2,0
Kagiso Rabada,false,GT,4,4,2019-100mb00000000116-dbd48930449611,162,28.57,81.00,42.00,70.37,3.65,11.57,14.0,2,0
Adam Zampa,true,SRH,2,2,2018-100mb00000000024-431d2bf7e99d11,94,20.83,47.00,24.00,70.21,3.69,11.75,8.0,2,0
Mayank Yadav,true,LSG,2,2,2022-100mb00000000987-e0fbfce6a44911,100,37.50,50.00,24.00,78.00,3.20,12.50,8.0,2,0
Simarjeet Singh,true,SRH,4,4,2021-100mb00000000622-e0d6c0e8ef8711,141,36.66,70.50,30.00,89.36,2.40,14.10,10.0,2,0
Anukul Roy,false,KKR,1,1,2019-100mb00000000160-970c8ab644ac11,27,33.33,27.00,24.00,44.44,8.00,6.75,4.0,1,0
Anrich Nortje,true,KKR,1,1,2019-100mb00000000142-040303a144a811,23,55.55,23.00,18.00,86.95,3.60,7.66,3.0,1,0
Mustafizur Rahman,false,DC,2,2,2019-100mb00000000258-e46e7f697acb11,54,35.71,54.00,42.00,59.25,6.00,7.71,7.0,1,0
Corbin Bosch,true,MI,2,2,2022-100mb00000001041-53fbf642d3a511,55,57.14,55.00,42.00,72.72,5.25,7.85,7.0,1,0
Nathan Ellis,true,CSK,1,1,2021-100mb00000000633-40c59a2c160011,38,25.00,38.00,24.00,47.36,6.00,9.50,4.0,1,0
Kulwant Khejroliya,false,GT,1,1,2019-100mb00000000204-8361537344ba11,29,22.22,29.00,18.00,62.06,4.50,9.66,3.0,1,0
Kwena Maphaka,false,RR,2,2,20226e936a7872aa11ec8ab502ab46c,54,40.00,54.00,30.00,85.18,3.00,10.80,5.0,1,0
Sam Curran,false,CSK,5,5,2019-100mb00000000138-5bd8fcf6449d11,133,25.00,133.00,72.00,69.17,3.78,11.08,12.0,1,0
Shahbaz Ahmed,false,LSG,2,2,2020-100mb00000000523-53bc4c09638b11,63,24.24,63.00,33.00,57.14,4.71,11.45,5.3,1,0
Rasikh Dar,true,RCB,2,2,2019-100mb00000000172-1befbbeb44af11,70,38.88,70.00,36.00,82.85,3.00,11.66,6.0,1,0
Spencer Johnson,false,KKR,4,4,2023-100mb00000002518-9a5f0c5357b311,133,38.23,133.00,68.00,78.19,3.09,11.73,11.2,1,0
Mukesh Choudhary,false,CSK,2,2,2022-100mb00000000970-8f107726a44511,71,30.55,71.00,36.00,81.69,2.76,11.83,6.0,1,0
Yash Thakur,true,PBKS,2,2,2022-100mb00000001550-b8b1d54854ee11,79,28.20,79.00,39.00,70.88,3.25,12.15,6.3,1,0
V Satyanarayana Penmetsa,true,MI,2,2,2024-100mb00000003568-0e9ff925abdc11,53,16.66,53.00,24.00,64.15,3.42,13.25,4.0,1,0
Mujeeb-ur-Rahman,true,MI,1,1,2019-100mb00000000134-807a8157449b11,28,33.33,28.00,12.00,78.57,2.40,14.00,2.0,1,0
